lipid_molar_ratio,encapsulation_efficiency_percent_std_num,source,confidence,evidence,reference_doi,ionizable_lipid_name,helper_lipid_name,peg_lipid_name,cargo_type,title,chem_warnings,pmcid,ee_is_approximate
50:38.5:10:1.5,82.89,text,medium,"Shanghai, China), and 14:0 PEG2000 PE (Sigma-Aldrich, St. Louis, MO, USA) were dissolved in anhydrous ethanol at a molar ratio of 50:38.5:10:1.5 to fo  ⟶EE근거: . si- Cyp2e1 LNPs showed a mean particle size of 72.47 ± 1.15 nm, a PDI of 0.144 ± 0.008, a zeta potential of −0.45 ± 0.10 mV, an encapsulation effici",10.3390/ph19071087,DLin-MC3-DMA,DSPC,,mRNA,"Liver-Directed Cyp2e1 RNA Interference Attenuates Hepatotoxicity Induced by Triptolide, a Bioactive Diterpenoid from Tri",헬퍼(38.5) > 콜레스테롤(10) — 통상과 반대입니다. 순서가 뒤바뀌었거나 논문 오기일 수 있습니다 (뒤집으면 50:10:38.5:1.5),13416182,True
50:10:38.5,90.0,text,medium,"oparticles The LNP was prepared as previously described [ 38 , 39 ]. Briefly, DLin-MC3-DMA, cholesterol, and DSPC (molar ratio of 50/38.5/10) were mix  ⟶EE근거: icroscopy (TEM) images proved that CMLNP possessed an extra outer layer compared with the LNP due to CM coating. In addition, the encapsulation effici",10.3390/pharmaceutics18070901,DLin-MC3-DMA,DSPC,,mRNA,Cell Membrane-Modified Lipid Nanoparticle Enhanced Glioblastoma Immunotherapy via Metabolism Reprogramming and Pyroptosi,,13414723,True
50:10:38.5:1.5,95.0,text,low,"ce co-loaded LNPs, we employed an Onpattro-based formulation 54 consisting of MC3/DSPC/cholesterol/DMG-PEG 2k at a molar ratio of 50/10/38.5/1.5 in et  ⟶EE근거: how the two factors of (i) electrostatic attraction between eLNPs and RNAs and (ii) lipid mobility can be tuned to achieve at 80%−95% encapsulation ef",10.64898/2026.07.21.737377,MC3,DSPC,DMG-PEG,mRNA,Post-loading ribonucleic acid into lipid nanoparticle carriers,,13419738,True
50:10:38.5:1.5,94.2,text,medium,"ure (1:1, v/v) at a concentration of 50 µg/µL, mixed according to the molar ratio of ionizable lipid: DSPC: sterol: DMG‐PEG2000 = 50:10:38.5:1.5, and   ⟶EE근거: clearly highlighted the structural and physicochemical differences between cholesterol and bile acids. Chol LNPs exhibited a high EE of 94.2%, whereas",10.1002/advs.76671,MC3,DSPC,,mRNA,Molecular Dynamics‐Guided Sterol Engineering of mRNA‐Lipid Nanoparticles Reprograms Biodistribution and Enhances Spleen‐,,13387038,False
50:38.5:10:1.5,90.0,text,medium,"holine (DSPC), cholesterol, and 1,2-dimyristoyl-rac-glycero-3-methoxypoly (ethylene glycol)-2000 (DMGPEG2000) at a molar ratio of 50:38.5:10:1.5 and w  ⟶EE근거: howed that all mRNA-LNP formulations had a particle size between 82.80 and 91.65 nm, with a PDI below 0.2 ( Fig. 2A and B ). mRNA encapsulation effici",10.1128/jvi.00269-26,SM102,DSPC,,mRNA,A ubiquitinated E2-based mRNA vaccine confers complete protection against lethal challenge with classical swine fever vi,헬퍼(38.5) > 콜레스테롤(10) — 통상과 반대입니다. 순서가 뒤바뀌었거나 논문 오기일 수 있습니다 (뒤집으면 50:10:38.5:1.5),13387000,True
50:39:9:2,93.4,text,medium,"le lipid LP‐01, cholesterol, DSPC and one of the polymer lipids ( 2d , 3c , 4d , 5d or DMG‐PEG2000 as a control)) were mixed at a 50:39:9:2 molar rati  ⟶EE근거:  unencapsulated (free) mRNA with encapsulated mRNA released after lipid membrane lysis with TritonX‐100. lPG‐LNPs had the highest encapsulation effici",10.1002/marc.202500428,,DSPC,,mRNA,Polyglycerol‐Based Lipids: A Next‐Generation Alternative to PEG in Lipid Nanoparticles for Advanced Drug Delivery System,헬퍼(39) > 콜레스테롤(9) — 통상과 반대입니다. 순서가 뒤바뀌었거나 논문 오기일 수 있습니다 (뒤집으면 50:9:39:2),13384789,False
46.3:9.4:42.7:1.6,94.0,text,medium," Briefly, circRNA in acidic buffer (pH 4.0) was mixed with an ethanol-based lipid solution (ALC-0315:DSPC: Cholesterol: ALC-0519, 46.3:9.4:42.7:1.6 mo  ⟶EE근거:  (Fig. 1 B-C). The two circRNA constructs (cirBA and cirAM) were successfully encapsulated in lipid nanoparticles (LNPs), and the encapsulation effici",10.1186/s12951-026-04557-1,ALC-0315,DSPC,,mRNA,Circular RNA vaccines encoding fusion proteins of Mpox Virus A35R-M1R and B6R-A29L induce robust and durable protective ,,13393767,True
50:10:38.5:1.5,90.0,text,medium,"L-12 in 0.1 M citrate buffer (pH = 4.0). The lipid phase comprised SM-102, SOPC, cholesterol, and DMG-PEG2000 at a molar ratio of 50:10:38.5:1.5 (mol%  ⟶EE근거: tentials ranged from − 2 to 0 mV, suggesting a near-neutral surface that could mitigate nonspecific serum protein adsorption. The encapsulation effici",10.1186/s12951-026-04273-w,SM-102,SOPC,DMG-PEG2000,mRNA,A low-toxicity circular single-stranded DNA platform for safe and potent IL-12 immunotherapy against hepatocellular carc,,13352730,True
45:9:44:2,94.0,text,medium,"y were then combined in a 20 mL scintillation vial and EtOH added for a final concentration of 33.7 mM lipid and a molar ratio of 45:44:9:2 (Ionizable  ⟶EE근거: hile those in citrate buffer displayed a modestly reduced pH of 6.9. At these measured pH values, all formulations exhibited high encapsulation effici",10.1021/acsnano.5c22170,SM-102,DSPC,DMG-PEG,mRNA,"Storage Buffer Composition Impacts Internal Structure, Freeze–Thaw Stability, and Transfection Efficiency of mRNA-Lipid ",,13325854,False
50:10:38.5:1.5,100.0,text,medium,"ueous solutions were rapidly vortex‐mixed. For the preparation of COM‐LNPs and LPC‐LNPs, the molar ratio was 50/10/38.5/1.5/0 and 50/10/38.5/1.5/14 fo  ⟶EE근거: modified formulations (Figure 1G ). Importantly, 16:0 LPC incorporation did not compromise nucleic acid loading, achieving an RNA encapsulation effici",10.1002/advs.76003,,DSPC,,mRNA,Tumor‐Specific Delivery of CD28 siRNA via Lyso‐PC C‐16 Modified Lipid Nanoparticles Overcomes Anti‐PD‐1 Resistance by Re,,13337025,True
