reference_doi,lipid_molar_ratio,ionizable_lipid_name,encapsulation_efficiency_percent_std_num,np_ratio_std_num,buffer_ph_std_num,cargo_type,helper_lipid_name,peg_lipid_name,particle_size_nm_std_num,pdi_std_num,zeta_potential_mv_std_num,ionizable_lipid_smiles,source_note,source,confidence,evidence,title,chem_warnings,pmcid,ee_is_approximate
10.1038/s41467-024-50619-z,60:20:19.5:0.5,Custom lipid,92.08,,,mRNA,DOPE,DMG-PEG2000,108,0.19,2.28,,LNP_Atlas_DB_202509_v1 원본 0행,,,,,,,
10.1002/smll.201805097,35:46.5:16:2.5,Custom lipid,31.1,,,mRNA,DOPE,C14-PEG2000,149.2,0.106,,CCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCC)CCC(=O)OCCCCCC)CCC(=O)OCCCCCC,LNP_Atlas_DB_202509_v1 원본 1004행 [수리됨],,,,,,,
10.1002/smll.201805097,35:16:46.5:2.5,Custom lipid,89.7,,,mRNA,DOPE,C14-PEG2000,161.6,0.129,,CCCCCCCCOC(=O)CCN(CCCN(N)CCCN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 1005행,,,,,,,
10.1002/smll.201805097,35:16:46.5:2.5,Custom lipid,93.6,,,mRNA,DOPE,C14-PEG2000,166.6,0.135,,CCCCCCCCC(OC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC),LNP_Atlas_DB_202509_v1 원본 1006행,,,,,,,
10.1002/smll.201805097,35:16:46.5:2.5,Custom lipid,89.3,,,mRNA,DOPE,C14-PEG2000,173.9,0.138,,CCCCCCCC(C)COC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCC(C)CCCCCCCC)CCC(=O)OCC(C)CCCCCCCC)CCC(=O)OCC(C)CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 1007행,,,,,,,
10.1002/smll.201805097,35:16:46.5:2.5,Custom lipid,89.7,,,mRNA,DOPE,C14-PEG2000,160,0.141,,CCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 1008행,,,,,,,
10.1002/smll.201805097,35:16:46.5:2.5,Custom lipid,84.7,,,mRNA,DOPE,C14-PEG2000,163.2,0.117,,CCCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 1009행,,,,,,,
10.1021/acs.nanolett.5b02497,40:16:41:3,C12-200,45,,,mRNA,DSPC,C14-PEG2000,65,0.396,,NCCN1CCN(CCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1CN(CC(O)CCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 100행 [수리됨],,,,,,,
10.1002/smll.201805097,35:16:46.5:2.5,Custom lipid,88.1,,,mRNA,DOPE,C14-PEG2000,138.9,0.19,,CCCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 1010행,,,,,,,
10.1002/smll.201805097,35:16:46.5:2.5,Custom lipid,86.2,,,mRNA,DOPE,C14-PEG2000,139.5,0.127,,CCCCCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 1011행,,,,,,,
10.1002/smll.201805097,35:16:46.5:2.5,Custom lipid,82.1,,,mRNA,DOPE,C14-PEG2000,118.5,0.216,,CCCCCCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 1012행,,,,,,,
10.1002/smll.201805097,35:16:46.5:2.5,Custom lipid,69,,,mRNA,DOPE,C14-PEG2000,180.7,0.17,,CCCCCCCCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 1013행,,,,,,,
